,CODE,NAME OF STOCK,CUR,"PRV,CLO/",ASK/,HIGH/,SHARES TRADED/
,,,,CLOSING,BID,LOW,TURNOVER ($)
,85,CE HUADA TECH,HKD,"0,71","0,73","0,73",590904
,,,,"0,72","0,72","0,70",421939
,86,SUN HUNG KAI CO,HKD,"3,79","3,85","3,86",529029
,,,,"3,83","3,83","3,75",2014105
,87,SWIRE PACIFIC B,HKD,"13,22","13,08","13,20",1591783
,,,,"13,08","13,04","12,96",20784707
,88,TAI CHEUNG HOLD,HKD,"7,29","7,43","7,50",532000
,,,,"7,43","7,40","7,29",3911820
,89,TAI SANG LAND,HKD,"4,90","5,02","4,85",7117
,,,,"4,85","4,85","4,85",34508
,90,AMBER ENERGY,HKD,"0,63","0,64","0,65",584000
,,,,"0,61","0,60","0,60",353840
,91,INT'L STD RES,HKD,"0,166","0,167","0,168",50000
,,,,"0,167","0,162","0,163",8350
,92,CHAMPION TECH,HKD,"0,32","0,335","0,34",1368286
,,,,"0,335","0,315","0,33",455060
,93,TERMBRAY IND,HKD,"0,36","0,37","0,37",128000
,,,,"0,36","0,34","0,35",45100
,94,GREENHEART GP,HKD,"0,70","0,69","0,69",562000
,,,,"0,67","0,66","0,67",376580
,95,LVGEM CHINA,HKD,"2,20","2,21","2,21",164000
,,,,"2,21","2,19","2,20",360940
,96,YUSEI,HKD,TRADING,SUSPENDED,,
,97,HENDERSON INV,HKD,"0,64","0,64","0,64",555000
,,,,"0,63","0,63","0,63",354200
,98,XINGFA ALUM,HKD,"5,20","5,37",-,-
,,,,"5,21","5,21",-,-
,99,WONG'S INT'L,HKD,"2,65","2,78",-,-
,,,,"2,67","2,67",-,-
,100,CLEAR MEDIA,HKD,"5,88","5,90","5,90",1559144
,,,,"5,90","5,83","5,80",9107660
,101,HANG LUNG PPT,HKD,"16,08","15,86","16,10",4989913
,,,,"15,84","15,84","15,72",78974308
,102,SUMMIT ASCENT,HKD,"0,96","0,97","0,98",1004000
,,,,"0,96","0,96","0,96",971580
,103,SHOUGANG CENT,HKD,"0,188","0,187","0,188",268000
,,,,"0,18","0,18","0,18",49304
,104,ASIA COMM HOLD,HKD,"0,37","0,425","0,355",315024
,,,,"0,355","0,33","0,33",107383
,105,ASSO INT HOTELS,HKD,"22,20",-,-,-
,,,,"22,30","22,30",-,-
,106,LANDSEA GREEN,HKD,"0,89","0,89","0,88",148000
,,,,"0,88","0,83","0,87",130040
,107,SICHUAN EXPRESS,HKD,"2,46","2,46","2,46",800000
,,,,"2,45","2,45","2,44",1960860
,108,GR PROPERTIES,HKD,"0,78","0,80","0,78",20000
,,,,"0,78","0,77","0,78",15600
,109,GOODRESOURCES,HKD,"0,19","0,198","0,195",1630438
,,,,"0,195","0,19","0,173",310458
,110,CHINA FORTUNE,HKD,"0,121","0,121",-,-
,,,,"0,121","0,11",-,-
,111,CINDA INTL HLDG,HKD,"0,66","0,70","0,66",136000
,,,,"0,66","0,66","0,64",88620
,112,LT COMM REALEST,HKD,"6,38","6,28","6,38",172006
,,,,"6,27","6,23","6,27",1089056
,113,DICKSON CONCEPT,HKD,"3,86","3,92","3,92",1085000
<,/font>,</pre><pre><font,siz,e='1'>,,,"3,91     3"
,114,HERALD HOLD,HKD,"0,79","0,81",-,-
,,,,"0,79","0,76",-,-
,115,GRAND FIELD GP,HKD,"0,118","0,117","0,119",960000
,,,,"0,115","0,115","0,114",112290
,116,CHOW SANG SANG,HKD,"12,20","12,22","12,24",844000
,,,,"12,22","12,18","12,18",10303320
,117,TIANLI HOLDINGS,HKD,"1,04","1,05","1,06",512000
,,,,"1,05","1,03","1,00",531900
,118,COSMOS MACH,HKD,"0,405","0,43",-,-
,,,,"0,405","0,40",-,-
,119,POLY PROPERTY,HKD,"2,66","2,64","2,67",3644000
,,,,"2,64","2,62","2,60",9604115
,120,COSMOPOL-2K,HKD,"1,52","1,51","1,52",1940000
,,,,"1,51","1,49","1,49",2923360
,121,C.P. LOTUS,HKD,"0,093","0,096","0,093",100000
,,,,"0,089","0,089","0,089",9100
,122,CROCODILE,HKD,"0,68","0,70","0,70",51000
,,,,"0,70","0,69","0,70",35700
,123,YUEXIU PROPERTY,HKD,"1,46","1,46","1,46",21518128
,,,,"1,46","1,45","1,44",31286219
,124,GD LAND,HKD,"1,71","1,74",-,-
,,,,"1,71","1,71",-,-
,125,SUN HING VISION,HKD,"2,71","2,75","2,71",6000
,,,,"2,69","2,69","2,68",16140
