,CODE,NAME OF STOCK,CUR,"PRV,CLO/",ASK/,HIGH/,SHARES TRADED/
,,,,CLOSING,BID,LOW,TURNOVER ($)
,,,,"0,435","0,43","0,39",86000
,15202,CSMTUAN@EP1905A,HKD,"0,165","0,185","0,198",29763000
,,,,"0,184","0,184","0,168",5520849
,15203,CSCSCIH@EC1905A,HKD,"1,23","1,18","1,22",80000
,,,,"1,17","1,16","1,17",95720
,15204,CSEVERG@EC1905A,HKD,"0,60","0,56","0,57",150000
,,,,"0,55","0,54","0,54",82000
,15205,CSZIJIN@EC1905A,HKD,"0,22","0,231","0,243",4016000
,,,,"0,229","0,227","0,222",932094
,15207,CSCNOOC@EC1904A,HKD,"0,136","0,144","0,141",280000
,,,,"0,142","0,142","0,135",39300
,15208,BIGEELY@EC1812A,HKD,"0,52","0,58",-,-
,,,,"0,52","0,51",-,-
,15209,CS-ACMT@EC1903B,HKD,"0,27","0,238","0,248",4700000
,,,,"0,238","0,236","0,206",1033685
,15211,CSGEELY@EC1904B,HKD,"0,223","0,218","0,226",12360000
,,,,"0,214","0,214","0,21",2653010
,15212,SGBOCHK@EC1907B,HKD,"0,29","0,31","0,295",460000
,,,,"0,305","0,305","0,28",130825
,15214,SGPICCG@EC1904A,HKD,"0,335","0,365",-,-
,,,,"0,35","0,345",-,-
,15215,SG-PICC@EC1905A,HKD,"0,82","0,84",-,-
,,,,"0,83","0,82",-,-
,15216,SG-LINK@EC1905A,HKD,"0,66","0,73",-,-
,,,,"0,71","0,71",-,-
,15218,CS-BAIC@EC1812A,HKD,"0,01",-,-,-
,,,,"0,01",-,-,-
,15219,SGCPAIR@EC1905A,HKD,"0,98","1,05","0,97",88000
,,,,"1,03","1,03","0,96",84920
,15220,SGCLIFE@EP1906C,HKD,"0,177","0,185",-,-
,,,,"0,182","0,182",-,-
,15221,SGGEELY@EC1904C,HKD,"0,168","0,168",-,-
,,,,"0,168","0,165",-,-
,15222,SGTENCT@EC1903M,HKD,"0,51","0,54","0,50",20000
,,,,"0,53","0,53","0,495",9950
,15223,GSBOCHK@EC1905A,HKD,"0,18","0,188","0,185",10725000
,,,,"0,184","0,03","0,168",1879210
,15224,VT-CKA @EC1905A,HKD,"0,51","0,465",-,-
,,,,"0,465","0,455",-,-
,15225,VTEVERG@EC1906A,HKD,"0,63","0,60",-,-
,,,,"0,60","0,56",-,-
,15227,VTALUCO@EC1905A,HKD,"0,345","0,36","0,35",698000
,,,,"0,355","0,355","0,34",240020
,15228,VTSANDS@EC1906A,HKD,"0,57","0,57",-,-
,,,,"0,57","0,54",-,-
,15229,HTBOCHK@EC1905B,HKD,"0,21","0,227","0,221",8120000
,,,,"0,224","0,224","0,204",1719915
,15230,HT-LINK@EC1905A,HKD,"0,485","0,54","0,53",120000
,,,,"0,53","0,53","0,50",60850
,15231,HTMTUAN@EP1905A,HKD,"0,43","0,465","0,465",760000
,,,,"0,455","0,455","0,445",349800
,15233,HT-CGDN@EP1912A,HKD,"0,20","0,204","0,207",850000
,,,,"0,203","0,203","0,203",173470
,15235,HTXIAMI@EC1904B,HKD,"0,218","0,203","0,218",41790000
,,,,"0,203","0,201","0,192",8434720
,15237,HT-AAC @EC1910A,HKD,"0,109","0,103","0,106",100000
,,,,"0,103","0,102","0,106",10600
,15238,HTTENCT@EC1903R,HKD,"0,365","0,38","0,375",5870000
,,,,"0,375","0,375","0,335",2049650
,15239,HTTENCT@EP1905B,HKD,"0,061","0,058","0,065",10000
,,,,"0,058","0,057","0,065",650
,15240,HTFTA50@EC1905A,HKD,"0,28","0,30","0,29",13297800
,,,,"0,29","0,29","0,275",3721709
,15241,MBTENCT@EC1906E,HKD,"7,59","7,86",-,-
,,,,"7,78","7,78",-,-
,15242,MBTENCT@EP1906F,HKD,"1,01","0,96","1,07",1744000
,,,,"0,95","0,95","0,95",1787270
,15245,MB-SUNY@EP1906A,HKD,"0,54","0,59","0,60",3519000
,,,,"0,58","0,58","0,51",1943580
,15247,HSMTUAN@EC1906A,HKD,"0,142","0,132",-,-
,,,,"0,132","0,13",-,-
,15248,HSGEELY@EC1906A,HKD,"0,221","0,217","0,214",880000
,,,,"0,215","0,215","0,204",184000
,15250,HS-CGDN@EC1904A,HKD,"0,121","0,114","0,119",36900000
,,,,"0,114","0,113","0,11",4178350
,15251,UBTENCT@EP1904G,HKD,"0,083","0,079","0,086",1769840000
,,,,"0,079","0,078","0,078",145591620
,15252,UBCPAIR@EC2010A,HKD,"0,27","0,28",-,-
,,,,"0,27","0,265",-,-
,15253,JP-MTRC@EP1902A,HKD,"0,043","0,042",-,-
,,,,"0,042","0,037",-,-
,15254,JPCITSE@EC1911A,HKD,"0,178","0,184",-,-
,,,,"0,182","0,181",-,-
,15255,JP-LINK@EP1905A,HKD,"0,112","0,102","0,111",770000
,,,,"0,102","0,101","0,103",84000
,15256,HT-PICC@EC1905A,HKD,"0,84","0,85","0,88",974000
,,,,"0,84","0,83","0,81",813140
,15257,HT-SJM @EC1905A,HKD,"1,44","1,40","1,42",5555000
,,,,"1,39","1,39","1,31",7593170
,15258,HT-CRCH@EC1912A,HKD,"0,245","0,217","0,227",2980000
,,,,"0,215","0,215","0,211",652520
,15259,GSCP&CC@EC1902A,HKD,"0,23","0,183","0,191",6592000
,,,,"0,177","0,181","0,158",1197432
,15260,GS-HKEX@EC1909A,HKD,"0,32","0,35","0,325",20000
,,,,"0,34","0,34","0,32",6450
,15261,GSTENCT@EP1904H,HKD,"0,045","0,05","0,05",3920000
,,,,"0,045","0,04","0,044",183870
,15264,GSCLIFE@EC1907A,HKD,"0,199","0,191","0,198",8360000
,,,,"0,189","0,189","0,181",1571570
,15267,SGTENCT@EP1904K,HKD,"0,051","0,048","0,055",4770000
,,,,"0,048","0,046","0,05",248360
,15268,SG-HSI @EC1904I,HKD,"0,203","0,204",-,-
,,,,"0,203","0,203",-,-
,15272,SGGEELY@EC1905A,HKD,"0,285","0,28","0,275",10000
,,,,"0,275","0,275","0,275",2750
,15273,CS-CUNI@EC1905A,HKD,"0,78","0,83","0,82",232000
,,,,"0,82","0,82","0,76",183200
,15274,CS-MI&S@EC1905A,HKD,"0,205","0,176","0,204",2862000
,,,,"0,174","0,174","0,17",545622
,15276,CSFOSUN@EC1910A,HKD,"0,26","0,265","0,26",50000
,,,,"0,255","0,255","0,255",12800
,15277,CSKSOFT@EC1905A,HKD,"0,152","0,169","0,172",5590000
,,,,"0,167","0,167","0,153",907530
,15278,SG-CRRC@EC1812A,HKD,TRADING,SUSPENDED,,
,15279,CS-HTSE@EC1905B,HKD,"0,62","0,74","0,71",334000
,,,,"0,71","0,70","0,61",225984
,15280,CS-PICC@EC1905A,HKD,"0,83","0,84","0,86",320000
,,,,"0,83","0,82","0,77",268780
,15281,CS-MNIU@EC1905A,HKD,"0,275","0,275","0,27",240000
,,,,"0,27","0,265","0,26",62800
,15282,CS-HUAP@EC1905A,HKD,"0,58","0,59","0,59",150000
,,,,"0,58","0,57","0,58",88360
,15284,CSCP&CC@EC1904A,HKD,"0,495","0,47",-,-
,,,,"0,47","0,46",-,-
,15287,HS-BOCL@EP1905A,HKD,"0,13","0,131","0,136",1350000
,,,,"0,131","0,13","0,127",181301
,15288,HSCSA50@EP1911B,HKD,"0,202","0,20","0,204",13350000
,,,,"0,20","0,199","0,201",2702694
,15291,HSFTA50@EP1911A,HKD,"0,197","0,194","0,197",1430000
,,,,"0,194","0,193","0,194",280040
,15292,HSSANDS@EP1905B,HKD,"0,151","0,149","0,162",15216000
,,,,"0,149","0,147","0,132",2248276
,15293,HSMTUAN@EC1909B,HKD,"0,099","0,093","0,093",20000
,,,,"0,093","0,091","0,093",1860
,15295,HTALIPG@EC1912A,HKD,"0,365","0,405","0,39",70000
,,,,"0,395","0,395","0,39",27300
,15296,HSBOCHK@EC1907B,HKD,"0,117","0,131","0,126",3360000
,,,,"0,129","0,129","0,113",405940
,15297,HS-CCB @EP1905A,HKD,"0,17","0,169","0,174",9694000
,,,,"0,168","0,168","0,168",1649072
,15298,HS-ICBC@EP1905A,HKD,"0,134","0,125","0,134",9916000
,,,,"0,123","0,124","0,123",1275446
,15299,HS-GEG @EP1905A,HKD,"0,223","0,219","0,232",5570000
,,,,"0,22","0,217","0,211",1231240
,15300,UB-HSI @EC1904I,HKD,"0,128","0,127","0,125",916500000
,,,,"0,125","0,126","0,119",112000920
,15301,UBCITSE@EC1907A,HKD,"0,167","0,177","0,178",1010000
,,,,"0,177","0,173","0,168",175155
,15302,UBCSA50@EC1904A,HKD,N/A,"0,194",-,-
,,,,N/A,"0,188",-,-
,15304,UBFTA50@EC1902A,HKD,"0,295","0,31",-,-
,,,,"0,30","0,30",-,-
,15305,HTTENCT@EC1904F,HKD,"0,39","0,41","0,375",440000
,,,,"0,405","0,405","0,37",163800
,15306,HTTENCT@EC1905C,HKD,"0,36","0,375","0,36",1900000
,,,,"0,365","0,365","0,335",657850
,15307,HTTENCT@EC1904G,HKD,"0,249","0,26","0,26",445650000
,,,,"0,26","0,255","0,228",108461340
,15308,JP-HSI @EP1905F,HKD,"0,095","0,094","0,099",380000
,,,,"0,093","0,092","0,094",37200
,15309,JPTENCT@EP1904J,HKD,"0,064","0,059","0,066",3530000
,,,,"0,059","0,058","0,059",225280
,15310,HT-HSCI@EC1903A,HKD,"0,47","0,47","0,465",2128000
,,,,"0,465","0,465","0,44",983580
,15311,HT-CMB @EC1905A,HKD,"0,184","0,185","0,194",15610000
,,,,"0,185","0,184","0,179",2908635
,15312,HTMTUAN@EP1906A,HKD,"0,91","0,96","0,97",720000
,,,,"0,96","0,95","0,93",686800
,15313,HT-CMB @EP1905B,HKD,"0,158","0,153","0,157",2570000
,,,,"0,152","0,151","0,152",396030
,15314,GSTENCT@EP1904I,HKD,"0,099","0,092","0,104",16570000
,,,,"0,092","0,091","0,092",1649030
,15316,GS-HKEX@EP1902A,HKD,"0,057","0,048","0,058",2930000
,,,,"0,048","0,047","0,048",159380
,15317,GS-CMBC@EC1905A,HKD,"0,33","0,335","0,335",882500
,,,,"0,33","0,33","0,325",288037
,15318,GSTENCT@EC1902P,HKD,"0,265","0,275","0,27",9670000
,,,,"0,27","0,27","0,234",2355650
,15319,GSTENCT@EC1904J,HKD,"0,37","0,395","0,37",320000
,,,,"0,385","0,385","0,35",116400
,15320,CSTENCT@EP1906B,HKD,"0,074","0,071",-,-
,,,,"0,071","0,069",-,-
,15321,CSTENCT@EP1905G,HKD,"0,083","0,078",-,-
,,,,"0,078","0,076",-,-
,15322,CSTENCT@EP1904K,HKD,"0,05","0,041","0,054",31620000
,,,,"0,041","0,04","0,04",1541070
,15323,CSPINAN@EC1903G,HKD,"0,125","0,113","0,12",1900000
,,,,"0,112","0,111","0,107",222120
,15325,CSPINAN@EP1903H,HKD,"0,079","0,074","0,075",420000
,,,,"0,073","0,072","0,072",30680
,15327,CS-AIA @EP1903C,HKD,"0,142","0,137","0,15",358000
,,,,"0,134","0,135","0,134",51222
,15328,CSCPAIR@EC2010A,HKD,"0,28","0,285","0,275",136000
,,,,"0,275","0,275","0,265",36720
,15329,CS-HKEX@EP1902A,HKD,"0,071","0,056","0,069",150000
,,,,"0,056","0,052","0,061",9950
,15330,CSCLIFE@EP2001A,HKD,"0,111","0,105","0,111",3130000
,,,,"0,105","0,103","0,107",339780
,15332,CSGEELY@EC1905B,HKD,"0,129","0,124","0,131",3940000
,,,,"0,123","0,122","0,122",497660
,15333,JP-HSI @EP1905G,HKD,"0,052","0,051","0,055",22420000
,,,,"0,051","0,05","0,05",1192690
,15334,JPHSCEI@EP1903D,HKD,"0,102","0,099","0,102",20000
,,,,"0,099","0,098","0,10",2020
,15335,JP-HSCI@EP1905A,HKD,"0,285","0,275",-,-
,,,,"0,275","0,27",-,-
,15337,JPFTA50@EC1903A,HKD,"0,265","0,275","0,27",85200
,,,,"0,27","0,27","0,25",22752
,15338,JPPINAN@EP1902C,HKD,"0,191","0,188","0,201",2360000
,,,,"0,186","0,185","0,186",453360
,15339,JPPINAN@EP1903G,HKD,"0,141","0,139","0,148",9945000
,,,,"0,138","0,137","0,135",1406085
,15340,JP-HKEX@EP1902A,HKD,"0,07","0,056","0,069",529360000
,,,,"0,056","0,054","0,056",34600720
,15343,JP-HSBC@EP1903C,HKD,"0,28","0,285",-,-
,,,,"0,28","0,275",-,-
,15345,JPGSBIO@EC1905A,HKD,"0,37","0,395",-,-
,,,,"0,39","0,39",-,-
,15348,HTAMCS3@EC1906A,HKD,"0,011",-,-,-
,,,,"0,011","0,01",-,-
,15349,JPGEELY@EC1906B,HKD,"0,155","0,149","0,15",4040000
,,,,"0,147","0,148","0,141",585980
,15350,JP-CMB @EC1905A,HKD,"0,212","0,221","0,227",2440000
,,,,"0,218","0,22","0,214",533045
,15351,JPPINAN@EC1903H,HKD,"0,128","0,128","0,122",430000
,,,,"0,126","0,125","0,12",52120
,15352,HTKAISA@EC1906A,HKD,"0,02",-,-,-
,,,,"0,02",-,-,-
,15353,HTKSOFT@EC1904A,HKD,"0,193","0,205","0,212",2530000
,,,,"0,202","0,202","0,198",522160
,15354,HTGEELY@EC1905B,HKD,"0,15","0,149",-,-
,,,,"0,149","0,146",-,-
,15355,HT-CPIC@EC1904A,HKD,"0,114","0,115","0,113",102000
,,,,"0,113","0,113","0,113",11526
,15357,SGMTUAN@EP1904D,HKD,"0,61","0,66","0,64",148000
,,,,"0,65","0,65","0,62",93240
,15360,SG-CMB @EC1904B,HKD,"0,255","0,265","0,26",630000
,,,,"0,255","0,255","0,25",161525
,15361,SG-CMB @EP1907A,HKD,"0,198","0,193","0,196",400000
,,,,"0,191","0,189","0,191",77990
,15363,SGCITSE@EC1907A,HKD,"0,165","0,173","0,176",645000
,,,,"0,173","0,171","0,165",110420
,15364,SG-HKEX@EP1906G,HKD,"0,105","0,092","0,105",3830000
,,,,"0,092","0,091","0,092",378580
,15365,SGPINAN@EP1903D,HKD,"0,171","0,167","0,173",13790000
,,,,"0,166","0,164","0,163",2326750
,15366,HSMEITU@EC1902A,HKD,"0,011",-,-,-
,,,,"0,011",-,-,-
,15367,SGTENCT@EP1904L,HKD,"0,082","0,076","0,086",11980000
,,,,"0,076","0,075","0,075",961720
,15368,SGPINAN@EC1903E,HKD,"0,114","0,111","0,11",110000
,,,,"0,11","0,11","0,105",11865
,15369,SGPINAN@EP1904C,HKD,"0,28","0,265",-,-
,,,,"0,265","0,26",-,-
,15370,UB-CLPG@EC1906A,HKD,"0,085","0,084","0,083",80000
,,,,"0,083","0,08","0,083",6640
,15371,SG-HSCI@EC1903B,HKD,"0,325","0,32",-,-
,,,,"0,325","0,315",-,-
,15372,SG-HSCI@EC1905A,HKD,"0,59","0,60",-,-
,,,,"0,59","0,59",-,-
,15374,MB-WYNN@EC1906A,HKD,"0,385","0,39","0,415",10316000
,,,,"0,38","0,375","0,37",4215160
,15376,HTTENCT@EP1904H,HKD,"0,063","0,058","0,068",4020000
,,,,"0,058","0,057","0,058",250760
,15377,HTTENCT@EP1904I,HKD,"0,104","0,096","0,109",21600000
,,,,"0,094","0,095","0,094",2264020
,15378,JP-HSCI@EC1905B,HKD,"0,405","0,405",-,-
,,,,"0,405","0,395",-,-
,15379,JPTENCT@EP1904K,HKD,"0,077","0,069","0,082",7031690000
,,,,"0,069","0,068","0,068",554814470
,15380,HT-HSI @EP1904F,HKD,"0,069","0,067","0,071",1925060000
,,,,"0,066","0,066","0,066",132739900
,15381,SG-HSI @EC1912A,HKD,"0,183","0,183","0,184",1000000
,,,,"0,184","0,182","0,184",184000
,15382,SGHSCEI@EC1912A,HKD,"0,182","0,185",-,-
,,,,"0,183","0,182",-,-
,15385,SG-CGS @EC1905A,HKD,"0,475","0,51","0,495",1220000
,,,,"0,50","0,50","0,47",597650
<,/font>,</pre><pre><font,siz,e='1'> 15,386 SG-HT,SE@EC1905,"A  HKD    0,73     0"
,,,,"0,90","0,89","0,77",361596
,15389,UB-CSPC@EC1812D,HKD,"0,015",-,-,-
,,,,"0,015",-,-,-
,15390,SGJIANC@EC1905A,HKD,"1,22","1,23",-,-
,,,,"1,22","1,21",-,-
,15391,SGSUNAC@EC1904B,HKD,"0,415","0,385","0,41",760000
,,,,"0,38","0,38","0,365",301100
,15392,GS-CSPC@EC1902A,HKD,"0,041","0,047","0,047",2520000
,,,,"0,046","0,046","0,042",114780
,15393,GSHEGAN@EC1906A,HKD,"0,62","0,63","0,63",10000
,,,,"0,62","0,61","0,60",6150
,15394,GS-AIA @EC1903C,HKD,"0,26","0,28","0,275",2754000
,,,,"0,275","0,27","0,25",735110
,15395,GS-HTSE@EC1906A,HKD,"1,08","1,28","1,27",2223600
,,,,"1,27","1,26","1,07",2609680
,15396,GS-HKEX@EC1906E,HKD,"0,162","0,182","0,18",62890000
,,,,"0,18","0,18","0,159",10390890
,15397,UB-CRCH@EC1909A,HKD,"0,121","0,111",-,-
,,,,"0,111","0,103",-,-
,15398,CS-HSCI@EC1905B,HKD,"0,355","0,37","0,365",136000
,,,,"0,35","0,36","0,35",47990
,15399,CS-HSCI@EP1905C,HKD,"0,245","0,228","0,248",3814000
,,,,"0,226","0,226","0,225",921744
,15400,CSTENCT@EC1904L,HKD,"0,244","0,26","0,25",1940000
,,,,"0,25","0,249","0,226",452420
,15401,CS-CMB @EC1904A,HKD,"0,57","0,59","0,56",100000
,,,,"0,56","0,57","0,55",55200
,15402,MBTENCT@EP1812I,HKD,"0,90","0,87",-,-
,,,,"0,87","0,78",-,-
,15403,CSMTUAN@EP1905B,HKD,"0,90","0,96","0,95",41000
,,,,"0,95","0,95","0,90",37940
,15404,VT-AIA @EP1905B,HKD,"0,295","0,285","0,295",630000
,,,,"0,285","0,28","0,285",183330
,15405,VTSUNAC@EC1905B,HKD,"0,365","0,355",-,-
,,,,"0,36","0,345",-,-
,15406,VT-GWMC@EC1907A,HKD,"0,50","0,56","0,56",869000
,,,,"0,55","0,55","0,51",467110
,15407,VT-CSPC@EC1906A,HKD,"0,068","0,075",-,-
,,,,"0,073","0,073",-,-
,15408,VT-CMB @EC1906A,HKD,"0,226","0,233",-,-
,,,,"0,228","0,229",-,-
,15409,SG-HSI @EP1905E,HKD,"0,063","0,063",-,-
,,,,"0,063","0,062",-,-
,15410,MBTENCT@EP1901H,HKD,"4,40","4,14",-,-
,,,,"4,14","4,06",-,-
,15411,SGTENCT@EP1904M,HKD,"0,039","0,036","0,041",4550000
,,,,"0,036","0,035","0,037",179460
,15412,HSCITSE@EC1907A,HKD,"0,157","0,157","0,162",39165000
,,,,"0,157","0,156","0,152",6144710
,15414,HSGSBIO@EC1907A,HKD,"0,29","0,31","0,31",6240000
,,,,"0,305","0,305","0,285",1853100
,15415,MB-BYD @EP1901A,HKD,"0,016","0,026","0,012",200000
,,,,"0,012","0,011","0,012",2400
,15416,BIHSCEI@EP1903D,HKD,"0,086","0,083","0,084",180000
,,,,"0,083","0,08","0,083",15030
,15417,BI-CCB @EC1907A,HKD,N/A,"0,207",-,-
,,,,N/A,"0,201",-,-
,15418,BIGEELY@EC1903C,HKD,"0,116","0,117",-,-
,,,,"0,116","0,113",-,-
,15420,BI-CMOB@EC1904B,HKD,N/A,"0,22","0,206",35350000
,,,,"0,215","0,215","0,189",7080435
,15421,BIPINAN@EC1903E,HKD,"0,201","0,199",-,-
,,,,"0,199","0,193",-,-
,15422,UBTRAHK@EP1910A,HKD,"0,144","0,143","0,144",30000
,,,,"0,143","0,141","0,144",4320
,15423,UB-HSCI@EP1905B,HKD,"0,255","0,26",-,-
,,,,"0,255","0,255",-,-
,15424,UB-AIA @EC1904C,HKD,"0,485","0,52",-,-
,,,,"0,495","0,495",-,-
,15425,MBPINAN@EC1906C,HKD,"0,335","0,34",-,-
,,,,"0,335","0,33",-,-
,15426,MB-CCB @EC1906A,HKD,"0,475","0,475","0,485",8679000
,,,,"0,465","0,465","0,465",4143780
,15428,MB-AAC @EC2108A,HKD,"0,244","0,236","0,25",11500000
,,,,"0,234","0,234","0,231",2814650
,15429,MB-CSPC@EC1908A,HKD,"0,138","0,15","0,147",4280000
,,,,"0,147","0,147","0,142",621680
,15430,MBLENOV@EC1902A,HKD,"0,56","0,64","0,56",250000
,,,,"0,56","0,55","0,52",134720
,15431,HTPINAN@EC1905D,HKD,"0,47","0,47","0,465",770000
,,,,"0,465","0,465","0,455",356850
,15432,HT-HSBC@EC1906A,HKD,"0,235","0,221","0,235",23780000
,,,,"0,221","0,219","0,22",5410736
,15433,HT-HSBC@EP1906B,HKD,"0,226","0,231","0,234",10832000
,,,,"0,231","0,23","0,224",2496504
,15435,HT-CCB @EC1905A,HKD,"0,58","0,57","0,58",704000
,,,,"0,57","0,56","0,56",401580
,15436,HT-CCB @EP1905B,HKD,"0,169","0,174",-,-
,,,,"0,17","0,17",-,-
,15437,JP-CGDN@EC1812B,HKD,"0,01","0,01",-,-
,,,,"0,01",-,-,-
,15438,HT-CGS @EC1905A,HKD,"0,45","0,485","0,475",4479000
,,,,"0,48","0,48","0,445",2066527
,15439,BPPETCH@EC1905A,HKD,N/A,"0,295",-,-
,,,,N/A,"0,285",-,-
,15440,BPPINAN@EP1905D,HKD,"0,152","0,141",-,-
,,,,"0,141","0,139",-,-
,15442,BP-SUNY@EC1911A,HKD,"0,19","0,179","0,201",55560000
,,,,"0,179","0,174","0,181",10840830
,15443,BPXIAMI@EC1907A,HKD,"0,199","0,183","0,199",30864000
,,,,"0,182","0,18","0,174",5717746
,15444,JPANGAN@EC1903A,HKD,"0,30","0,27","0,29",500000
,,,,"0,265","0,26","0,265",140000
,15445,JPSPDRG@EC1905A,HKD,"0,355","0,375","0,37",326000
,,,,"0,37","0,37","0,365",119570
,15446,JPSPDRG@EP1905B,HKD,"0,52","0,51",-,-
,,,,"0,51","0,50",-,-
,15449,GSTENCT@EC1903Q,HKD,"0,174","0,182","0,174",25470000
,,,,"0,18","0,18","0,155",4143940
,15450,GSTENCT@EC1902Q,HKD,"0,19","0,196","0,194",35900000
,,,,"0,194","0,194","0,163",6297890
,15451,GSGEELY@EC1902D,HKD,"0,089","0,078","0,08",13340000
,,,,"0,077","0,077","0,071",1007720
,15453,VT-NWD @EC1912A,HKD,"0,088","0,091",-,-
,,,,"0,089","0,088",-,-
,15454,GSPINAN@EP1903H,HKD,"0,173","0,157","0,168",19515000
,,,,"0,156","0,155","0,155",3098355
,15456,GS-ZAOL@EC1904B,HKD,"0,41","0,43","0,46",6588000
,,,,"0,425","0,425","0,375",2746000
,15457,EAXIAMI@EC1907A,HKD,"0,33","0,315","0,315",4000
,,,,"0,315","0,29","0,315",1260
,15458,EAXIAMI@EC1907B,HKD,"0,40","0,405",-,-
,,,,"0,40","0,38",-,-
,15459,EAPINAN@EP1906A,HKD,"0,40","0,39",-,-
,,,,"0,385","0,365",-,-
,15460,EAZHJIN@EC1910A,HKD,"0,255","0,285",-,-
,,,,"0,26","0,26",-,-
,15461,EA-YZCM@EC1911A,HKD,"0,121","0,129",-,-
,,,,"0,124","0,124",-,-
,15462,CSBOCHK@EP1905B,HKD,"0,156","0,141","0,156",3765000
,,,,"0,141","0,139","0,139",561415
,15463,VT-AAC @EC1905A,HKD,"0,46","0,435",-,-
,,,,"0,435","0,42",-,-
,15464,VT-BYD @EC1905A,HKD,"0,60","0,63","0,66",5795000
,,,,"0,62","0,62","0,57",3645250
,15465,VT-GEG @EP1906A,HKD,"0,237","0,235",-,-
,,,,"0,235","0,232",-,-
,15466,VTPINAN@EP1904C,HKD,"0,29","0,29","0,30",5855000
,,,,"0,29","0,285","0,28",1698025
,15467,VTPINAN@EP1905A,HKD,"0,63","0,61","0,61",40000
,,,,"0,61","0,59","0,61",24400
,15468,HS-CSPC@EC1906A,HKD,"0,094","0,10","0,10",27860000
,,,,"0,099","0,098","0,096",2741420
,15469,HS-PICC@EC2012A,HKD,"0,189","0,19",-,-
,,,,"0,189","0,188",-,-
,15470,MBGEELY@EC1906A,HKD,"0,206","0,202","0,20",4860000
,,,,"0,199","0,199","0,191",951410
,15471,MBHAIER@EC1912A,HKD,"0,51","0,55","0,56",1170000
,,,,"0,54","0,53","0,53",647000
,15472,MB-NCI @EC1906A,HKD,"0,20","0,205","0,206",3832000
,,,,"0,202","0,20","0,192",758200
,15473,MBMEITU@EC1906A,HKD,"0,39","0,385","0,38",775000
,,,,"0,38","0,36","0,355",281340
,15475,CS-CSPC@EC1903B,HKD,"0,051","0,057","0,055",920000
,,,,"0,055","0,055","0,052",49514
,15477,CS-CGS @EC1905A,HKD,"0,355","0,385","0,375",301000
,,,,"0,36","0,36","0,355",109400
,15478,CSPINAN@EC1905A,HKD,"0,207","0,205","0,208",5640000
,,,,"0,203","0,203","0,194",1135530
,15479,CSGEELY@EC1904C,HKD,"0,148","0,151","0,151",3320000
,,,,"0,149","0,149","0,14",480730
,15480,JPTENCT@EP1905F,HKD,"0,045","0,044",-,-
,,,,"0,044","0,038",-,-
,15481,JP-HKEX@EC1902B,HKD,"0,54","0,68","0,63",10000
,,,,"0,66","0,66","0,61",6200
,15482,JP-BYD @EC1903A,HKD,"0,355","0,37","0,39",460000
,,,,"0,37","0,36","0,335",174650
,15483,JP-CMBC@EC1907A,HKD,"0,315","0,325","0,325",295500
,,,,"0,32","0,32","0,315",95040
,15484,GS-BYD @EC1902C,HKD,"0,61","0,64","0,65",50000
,,,,"0,63","0,62","0,63",32100
,15485,GS-AAC @EC1912A,HKD,"0,108","0,101","0,114",8560000
,,,,"0,10","0,10","0,099",925850
,15486,GSPINAN@EC1903I,HKD,"0,32","0,31","0,31",2750000
,,,,"0,305","0,30","0,29",823525
,15488,GSPINAN@EC1903J,HKD,"0,107","0,099","0,10",5855000
,,,,"0,097","0,097","0,092",567725
,15489,GSPINAN@EC1903K,HKD,"0,28","0,238","0,245",13360000
,,,,"0,237","0,236","0,226",3168185
,15490,SG-BOCL@EC1907A,HKD,"0,193","0,19",-,-
,,,,"0,19","0,184",-,-
,15493,SGBOCOM@EC1905A,HKD,"0,51","0,53","0,53",561000
,,,,"0,52","0,52","0,51",290210
,15494,SG-CCB @EC1903B,HKD,"0,255","0,248",-,-
,,,,"0,248","0,243",-,-
,15495,SG-CMBC@EC1905A,HKD,"0,35","0,36",-,-
,,,,"0,355","0,355",-,-
,15496,SGVANKE@EC1905A,HKD,"0,32","0,30","0,32",580000
,,,,"0,30","0,295","0,30",184510
,15497,SGTENCT@EC1904N,HKD,"0,235","0,246","0,246",7190000
,,,,"0,246","0,244","0,213",1604340
,15500,SGTENCT@EP1905E,HKD,"0,044","0,041","0,046",20000
,,,,"0,041","0,04","0,044",900
,15501,VTLENOV@EC1903B,HKD,"0,285","0,275","0,31",1226000
,,,,"0,265","0,265","0,265",356200
,15502,VT-AIA @EC1905C,HKD,"0,295","0,325","0,325",5448000
,,,,"0,325","0,32","0,285",1651410
,15503,VTCNOOC@EC1903A,HKD,"0,168","0,185",-,-
,,,,"0,18","0,181",-,-
,15504,VT-HKEX@EC1904A,HKD,"0,143","0,162",-,-
,,,,"0,159","0,159",-,-
,15505,VT-BOCL@EC1903A,HKD,"0,124","0,119",-,-
,,,,"0,119","0,114",-,-
,15506,VTTENCT@EC1906C,HKD,"0,193","0,201","0,196",1310000
,,,,"0,199","0,199","0,181",245050
,15507,VT-GEG @EC1904B,HKD,"0,40","0,41",-,-
,,,,"0,40","0,40",-,-
,15508,HSTENCT@EC1904E,HKD,"0,235","0,247","0,242",33480000
,,,,"0,246","0,246","0,214",7307210
,15509,HS-HKEX@EP1906E,HKD,"0,143","0,124","0,141",56640000
,,,,"0,124","0,123","0,124",7424920
,15510,HSTRAHK@EC1907A,HKD,"0,15","0,153",-,-
,,,,"0,151","0,151",-,-
,15512,HS-AIA @EC1906A,HKD,"0,33","0,32","0,325",9596000
