,,Total Short,Selling Turno,ver         Total,Turnover
CODE,NAME OF STOCK,(SH),($),(SH),($)
273,MASON GP HOLD,540000,75080,30282099,4210929
285,BYD ELECTRONIC,1178500,13694720,12159181,141598665
286,CS HEALTH,94000,61100,2836012,1848087
288,WH GROUP,2077500,13091785,38893801,244037439
291,CHINA RES BEER,330000,9205600,8126661,226629951
293,CATHAY PAC AIR,170000,1899120,2851675,31739910
297,SINOFERT,588000,535400,7269430,6637823
303,VTECH HOLDINGS,106600,7869910,362515,26795125
308,CHINA TRAVEL HK,578000,1323160,13938884,31845954
315,SMARTONE TELE,29000,282370,1088000,10585520
317,COMEC,34000,197360,308000,1790500
322,TINGYI,1006000,10249680,22943755,233872344
323,MAANSHAN IRON,4022000,15174060,34064168,128613706
327,PAX GLOBAL,45000,161660,1801076,6471755
330,ESPRIT HOLDINGS,504600,929282,2035521,3745508
336,HUABAO INTL,17000,63090,1590000,5858320
337,GREENLAND HK,6000,12950,1918000,4116970
338,SHANGHAI PECHEM,772000,2835400,20367906,74617215
341,CAFE DE CORAL H,26000,499680,615047,11811993
342,NEWOCEAN ENERGY,220000,613280,3804000,10598080
345,VITASOY INT'L,2000,64100,2072417,66233922
347,ANGANG STEEL,2458000,16167120,15874834,104892987
354,CHINASOFT INT'L,1584000,7524920,7043948,33415721
358,JIANGXI COPPER,348000,3375100,2665943,25857770
363,SHANGHAI IND H,344000,5955500,1679436,29077255
368,SINOTRANS SHIP,13500,34560,12880500,32884690
371,BJ ENT WATER,1382000,6395560,52937382,245359538
376,YUNFENG FIN,22000,112460,4654000,23481560
378,FDG KINETIC,12000,1188,5510000,540844
383,CHINA MED&HCARE,10000,1900,4200000,798000
384,CHINA GAS HOLD,2429800,68461960,5067826,142866434
386,SINOPEC CORP,39480000,268102840,129893095,882802855
388,HKEX,551500,131282040,6523305,1547933638
390,CHINA RAILWAY,3233000,23624950,14531026,106112536
392,BEIJING ENT,163000,7645100,1283424,60187806
405,YUEXIU REIT,704000,3537110,2641068,13260918
410,SOHO CHINA,654000,1985215,5390484,16251738
419,HUAYI TENCENT,70000,13350,16020200,3078667
425,MINTH GROUP,1460000,40666600,4719948,131367679
435,SUNLIGHT REIT,12000,58950,1136846,5580856
439,KUANGCHI,22000,14080,2899000,1834760
451,GCL NEWENERGY,772000,220370,16956000,4832320
460,SIHUAN PHARM,451000,808000,12296941,21968728
467,UNITEDENERGY GP,130000,188720,4352058,6295081
468,GAPACK,27000,127420,500033,2336940
480,HKR INT'L,3200,12216,340160,1298466
488,LAI SUN DEV,1800,23628,86417,1136924
489,DONGFENG GROUP,3390000,25625520,12071784,91414047
493,GOME RETAIL,5569000,3953990,33193608,23421358
494,LI & FUNG,264000,434880,14171962,23240334
496,KASEN,87000,294620,2040000,6911460
506,CHINA FOODS,76000,265400,1258000,4386760
508,DINGYI GP INV,135000,78250,4170000,2388000
511,TVB,3000,52978,138400,2443738
512,CHINAGRANDPHARM,144000,589440,4692000,19231400
517,COSCO SHIP INTL,48000,131360,290000,792680
520,XIABUXIABU,43000,498360,1487784,17265359
522,ASM PACIFIC,398100,32257635,1761764,142382587
525,GUANGSHEN RAIL,194000,608880,2553848,8025130
526,LISI GP HOLD,62000,54980,1052000,931080
530,GOLDIN FIN HOLD,2000,5680,838000,2378800
535,GEMDALE PPT,14000,10220,3182000,2331100
538,AJISEN (CHINA),11000,26080,337000,799120
546,FUFENG GROUP,278000,901100,2914754,9377853
547,DIGITAL DOMAIN,80000,8370,11250000,1165350
548,SHENZHENEXPRESS,16000,125420,1638000,12821471
551,YUE YUEN IND,131000,3059075,1415890,32983722
552,CHINACOMSERVICE,898000,6014180,18189499,121840492
563,SH IND URBAN,70000,94460,3866000,5196660
570,TRAD CHI MED,252000,1394240,12621032,69964079
576,ZHEJIANGEXPRESS,106000,693840,7183076,47207161
581,CHINA ORIENTAL,1178000,6043180,9894504,50792576
586,CONCH VENTURE,627500,15695750,3993262,99791279
588,BEIJING N STAR,32000,75840,1558000,3694900
590,LUK FOOK HOLD,329000,7782950,1091496,25824458
596,INSPUR INT'L,10000,35520,1426000,5080160
598,SINOTRANS,791000,2617000,5752232,18879429
603,CHINA OIL & GAS,20000,10400,4564000,2401600
604,SHENZHEN INVEST,1276000,3277600,6799416,17461014
606,CHINA AGRI,683000,2089760,6730013,20484706
607,FULLSHARE,1342500,3938350,30733422,90293088
622,ENERCHINA HOLD,66000,26925,1911100,783957
631,SANY INT'L,101000,270190,5321000,14283110
636,KERRY LOG NET,64500,840430,1498500,19471901
639,SHOUGANG RES,10000,16520,1192775,1968250
656,FOSUN INTL,1762500,22493990,6651242,84884599
658,C TRANSMISSION,315000,2595940,2184350,18134623
659,NWS HOLDINGS,133000,2171100,1777132,28985937
665,HAITONG INT'L,173000,484310,7997921,22343731
669,TECHTRONIC IND,419500,18791250,4676014,210173323
670,CHINA EAST AIR,898000,4532880,20419453,102669773
678,GENTING HK,221000,253040,13274581,15120319
683,KERRY PPT,180500,4948525,2625028,71953060
686,PANDA GREEN,546000,161070,4006000,1181290
