CODE,NAME OF STOCK,SALES RECORD
,,"92,000-5.74 92,000-5.74 103,000-5.74 92,000-5.74"
,,"216,000-5.74 92,000-5.74 236,000-5.73 89,000-5.74"
,,"203,000-5.74 100,000-5.74 214,000-5.74 222,000-5.74"
,,"105,000-5.74 180,000-5.74 235,000-5.75 107,000-5.75"
,,"292,000-5.75 195,000-5.75 127,000-5.75 263,000-5.75"
,,"90,000-5.75 142,000-5.75 168,000-5.74 217,000-5.74"
,,"103,000-5.74 359,000-5.74 188,000-5.74 295,000-5.74"
,,"336,000-5.74 291,000-5.75 120,000-5.75 218,000-5.75"
,,"100,000-5.75 128,000-5.74 ]< 286,000-5.76 583,000-5.76"
,,"284,000-5.76 U727,000-5.76 683,000-5.76 155,000-5.76"
,,"659,000-5.76 743,000-5.76 1,091,000-5.76 250,000-5.76"
,,"2,750,000-5.76 250,000-5.76 130,000-5.76 506,000-5.76"
,,"319,000-5.76 124,000-5.76 1,886,000-5.76 411,000-5.76"
,,"239,000-5.76 141,000-5.76 676,000-5.76 113,000-5.76"
,,"345,000-5.76 500,000-5.76 1,975,000-5.76 144,000-5.76"
,,"190,000-5.76 717,000-5.76 823,000-5.76 463,000-5.76"
,,"396,000-5.76 196,000-5.76 750,000-5.76 1,832,000-5.76"
,,"158,000-5.76 96,000-5.76 97,000-5.76 214,000-5.76"
,,"213,000-5.76 98,000-5.76 213,000-5.76 901,000-5.76"
,,"320,000-5.76 U343,000-5.76 112,000-5.76 607,000-5.76"
,,"116,000-5.76 244,000-5.76 244,000-5.76 244,000-5.76"
,,"224,000-5.76 224,000-5.76 129,000-5.76 200,000-5.76"
,,"385,000-5.76 503,000-5.76 204,000-5.76 341,000-5.76"
,,"1,545,000-5.76 107,000-5.76 200,000-5.76 243,000-5.76"
,,"243,000-5.76 243,000-5.76 243,000-5.76 95,000-5.76"
,,"243,000-5.76 243,000-5.76 243,000-5.76 120,000-5.76"
,,"203,000-5.76 243,000-5.76 243,000-5.76 225,000-5.76"
,,"225,000-5.76 225,000-5.76 134,000-5.76 171,000-5.76"
,,"200,000-5.76 U170,000-5.76 U217,000-5.76 >"
1448,FU SHOU YUAN,"< >[ ]/-//[ 231,000-6.10 ]< >"
1458,ZHOU HEI YA,"< >[ ]/-//[ 216,500-3.96 ]< >"
1496,AP RENTALS,"< >[ ]/-//[ 1,852,000-0.41 ]< >"
1508,CHINA RE,"< >[ 402,000-1.61 ]/-//[ ]< >"
1530,3SBIO,"< P110,000-11.833 P152,600-11.722 P610,400-11.723 >["
,,"73,500-11.78 72,000-11.76 78,000-11.80 ]/-//["
,,"85,000-12.04 X50,000-12.04 ]< 46,500-12.06 61,500-12.06"
,,"61,000-12.06 90,500-12.06 >"
1533,ZHUANGYUAN PA,"< >[ 118,500-6.35 ]/-//[ ]< >"
1548,GENSCRIPT BIO,"< >[ 60,000-14.26 40,000-14.42 48,000-14.44"
,,"50,000-14.42 ]/-//[ 36,000-14.18 120,000-13.94"
,,"62,000-14.02 168,000-14.24 60,000-14.36 200,000-14.34"
,,"42,000-14.22 40,000-14.34 36,000-14.30 62,000-14.32 ]<"
,,"50,000-14.42 >"
1557,K.H. GP HLDGS,"< >[ ]/-//[ 800,000-2.20 ]< >"
1558,HEC PHARM,"< >[ 98,000-30.45 20,000-30.45 ]/-//[ 20,000-30.60"
,,"21,000-31.00 ]< >"
1579,YIHAI INTL,"< >[ 25,000-21.25 ]/-//[ 40,000-20.20 ]< >"
1585,YADEA,"< >[ ]/-//[ 196,000-2.75 ]< >"
1596,YICHEN IND,"< >[ 99,000-5.49 438,000-5.50 ]/-//[ ]< >"
1599,UCD,"< >[ 200,000-2.70 ]/-//[ 193,000-2.70 ]< >"
1610,COFCO MEAT,"< >[ ]/-//[ Y561,000-1.20 ]< >"
1611,PANTRONICS HLDG,"< >[ ]/-//[ 980,000-3.85 ]< >"
1622,REDCO GROUP,"< >[ Y400,000-4.28 196,000-4.26 180,000-4.26"
,,"Y200,000-4.21 ]/-//[ ]< >"
1628,YUZHOU PPT,"< >[ 278,000-3.33 193,000-3.32 200,000-3.32 ]/-//[ ]< >"
1629,MENGKE HLDGS,"< >[ ]/-//[ 400,000-1.42 ]< >"
1638,KAISA GROUP,"< >[ 300,000-2.50 ]/-//[ ]< >"
1653,MOS HOUSE,"< >[ 2,780,000-0.21 ]/-//[ 2,680,000-0.207"
,,"2,500,000-0.213 4,000,000-0.203 ]< >"
1658,PSBC,"< >[ 162,000-4.90 162,000-4.90 110,000-4.89"
,,"118,000-4.89 218,000-4.89 375,000-4.89 143,000-4.89"
,,"286,000-4.89 140,000-4.89 136,000-4.89 1,000,000-4.89"
,,"Y169,000-4.89 146,000-4.89 564,000-4.89 180,000-4.89"
,,"147,000-4.88 123,000-4.84 116,000-4.85 141,000-4.85"
,,"276,000-4.86 ]/-//[ 300,000-4.84 200,000-4.84"
,,"141,000-4.84 218,000-4.84 400,000-4.80 173,000-4.80"
,,"173,000-4.79 X143,000-4.79 152,000-4.77 289,000-4.77"
,,"X109,000-4.74 147,000-4.74 170,000-4.74 217,000-4.74"
,,"375,000-4.74 111,000-4.74 163,000-4.74 244,000-4.74 ]<"
,,"109,000-4.74 220,000-4.74 153,000-4.74 224,000-4.74"
,,"169,000-4.74 400,000-4.74 195,000-4.74 153,000-4.74"
,,"159,000-4.74 171,000-4.74 170,000-4.74 126,000-4.74"
,,"200,000-4.74 126,000-4.74 267,000-4.74 404,000-4.74"
,,"300,000-4.74 207,000-4.74 132,000-4.74 208,000-4.74 >"
1661,WISDOM SPORTS,"< >[ ]/-//[ 2,609,000-0.64 ]< >"
1678,CREATIVE GLOBAL,"< >[ ]/-//[ 2,680,000-0.20 3,864,000-0.201 ]< >"
1681,CONSUN PHARMA,"< >[ ]/-//[ 1,000,000-5.93 530,000-5.93 ]< >"
1707,GEOTECH HLDGS,"< >[ X23,000,000-0.378 X80,000,000-0.378"
,,"X80,000,000-0.378 X80,000,000-0.378 X80,000,000-0.378"
,,"X80,000,000-0.378 X80,000,000-0.378 X80,000,000-0.378"
,,"X80,000,000-0.378 X74,000,000-0.378 ]/-//[ ]< >"
1708,SAMPLE TECH,"< >[ 70,000-8.98 75,000-8.97 75,000-8.95 80,000-8.92"
,,"80,000-8.92 ]/-//[ ]< >"
1712,DRAGON MINING,"< >[ ]/-//[ 970,000-1.47 ]< >"
1718,WAN KEI GROUP,"< >[ 1,000,000-0.69 1,000,000-0.70 1,000,000-0.70 ]/-//"
,,[ ]< >
1719,CIL GROUP,"< >[ 1,000,000-1.30 ]/-//[ ]< >"
1720,PUTIAN COMM,"< >[ 440,000-2.34 240,000-2.33 ]/-//[ ]< >"
1728,ZHENGTONGAUTO,"< >[ X200,000-4.665 ]/-//[ 108,500-4.72 ]< >"
1755,XINCHENGYUE,"< >[ 150,000-3.45 179,000-3.46 150,000-3.46"
,,"150,000-3.46 200,000-3.46 200,000-3.46 200,000-3.47"
,,"150,000-3.47 160,000-3.48 200,000-3.47 ]/-//["
,,"244,000-3.50 489,000-3.50 162,000-3.50 250,000-3.50"
,,"300,000-3.49 149,000-3.51 ]< >"
1761,BABYTREE GROUP,"< >[ 74,000-6.86 ]/-//[ 81,500-6.86 ]< >"
1765,HOPE EDU,"< >[ ]/-//[ 442,000-1.20 446,000-1.20 X500,000-1.205"
,,"1,000,000-1.19 500,000-1.19 1,604,000-1.20 462,000-1.20"
,,"608,000-1.20 ]< >"
1766,CRRC,"< P124,000-7.372 P186,000-7.373 >[ 69,000-7.38"
,,"170,000-7.38 X500,000-7.37 ]/-//[ 71,000-7.33"
,,"90,000-7.33 200,000-7.32 108,000-7.33 83,000-7.36"
,,"110,000-7.36 119,000-7.36 200,000-7.38 100,000-7.38"
,,"92,000-7.38 200,000-7.38 100,000-7.40 100,000-7.40"
,,"487,000-7.42 159,000-7.42 125,000-7.42 153,000-7.43"
,,"106,000-7.42 85,000-7.42 84,000-7.43 ]< C130,500-7.37"
,,"C391,500-7.38 170,000-7.44 168,000-7.44 151,000-7.44"
,,"78,000-7.44 100,000-7.44 97,000-7.44 84,000-7.44"
,,"95,000-7.44 >"
1772,GANFENGLITHIUM,"< >[ 42,000-15.68 40,000-15.64 ]/-//[ ]< >"
1776,GF SEC,"< >[ 48,800-12.24 98,200-12.20 85,400-12.22"
,,"85,200-12.26 ]/-//[ 58,600-12.20 100,000-12.20"
,,"100,000-12.16 100,000-12.12 100,000-12.10 62,000-12.08"
,,"46,400-12.08 56,000-12.08 43,000-12.08 100,000-12.10"
,,"93,600-12.10 100,000-12.10 100,000-12.30 41,400-12.30 ]"
,,"< 42,800-12.28 >"
1777,FANTASIA,"< >[ 949,500-0.95 ]/-//[ ]< >"
1787,SD GOLD,"< >[ Y30,000-17.24 ]/-//[ 29,750-17.58 31,250-17.62"
,,"50,000-17.96 37,000-17.98 60,000-17.88 34,500-18.00 ]< >"
1800,CHINA COMM CONS,"< >[ 107,000-7.88 485,000-7.88 117,000-7.88"
,,"184,000-7.88 452,000-7.80 ]/-//[ X650,000-7.825"
,,"70,000-7.81 Y97,000-7.83 ]< 161,000-7.83 236,000-7.83"
,,"118,000-7.83 93,000-7.83 104,000-7.83 158,000-7.83 >"
1801,INNOVENT BIO-B,"< >[ 30,000-23.00 ]/-//[ ]< >"
1809,PRINX CHENGSHAN,"< >[ Y1,405,000-5.15 Y1,405,000-5.15 Y1,405,000-5.15"
,,"Y1,230,000-5.15 ]/-//[ ]< >"
1810,XIAOMI-W,"< 35,200-14.94 52,400-14.94 >[ 50,000-14.64"
,,"47,800-14.76 39,600-14.78 50,000-14.90 34,400-14.82"
,,"64,000-14.76 66,200-14.70 54,600-14.72 40,400-14.74"
,,"45,200-14.74 40,800-14.76 Y39,000-14.72 45,000-14.72"
,,"43,800-14.72 47,400-14.72 36,600-14.72 41,400-14.70"
,,"37,400-14.72 38,600-14.72 ]/-//[ 36,800-14.70"
,,"50,000-14.70 54,400-14.70 40,600-14.70 68,200-14.70"
,,"50,600-14.70 43,400-14.70 44,600-14.70 55,800-14.70"
,,"50,000-14.70 72,800-14.70 38,600-14.70 100,000-14.70"
,,"44,200-14.70 35,400-14.68 116,200-14.70 378,200-14.70"
,,"130,800-14.70 34,200-14.70 56,800-14.70 98,600-14.68"
,,"100,000-14.66 40,600-14.64 35,000-14.60 50,000-14.60"
,,"143,600-14.56 141,400-14.56 107,800-14.56 51,800-14.56"
,,"35,200-14.58 38,800-14.58 41,800-14.56 65,600-14.54"
,,"209,200-14.52 Y390,800-14.52 44,800-14.52 83,000-14.52"
,,"155,400-14.52 60,000-14.52 50,000-14.50 50,000-14.50"
,,"49,800-14.48 60,000-14.46 47,200-14.46 65,400-14.44"
,,"41,000-14.44 52,600-14.44 101,200-14.44 40,000-14.44"
,,"60,000-14.44 50,000-14.42 54,600-14.44 98,000-14.44"
,,"50,000-14.44 47,000-14.44 50,000-14.44 504,000-14.42"
,,"41,000-14.42 220,600-14.44 35,800-14.44 116,200-14.44"
,,"39,600-14.44 73,600-14.44 83,600-14.44 Y63,400-14.44"
,,"52,800-14.44 60,000-14.46 52,200-14.46 42,200-14.48"
,,"40,000-14.50 150,600-14.50 59,000-14.50 126,000-14.52"
,,"40,000-14.56 Y200,000-14.54 46,800-14.54 267,800-14.54"
,,"71,600-14.54 71,800-14.54 Y92,000-14.54 43,800-14.54"
,,"50,600-14.58 51,600-14.58 57,600-14.58 53,600-14.60"
,,"53,600-14.60 52,800-14.60 50,000-14.56 66,200-14.54"
,,"37,200-14.54 65,800-14.58 Y120,000-14.62 90,600-14.60"
,,"35,200-14.58 100,000-14.58 39,400-14.62 148,800-14.64"
,,"51,600-14.64 63,000-14.64 37,000-14.64 51,400-14.64"
,,"50,000-14.66 62,400-14.66 44,600-14.64 555,400-14.64"
,,"Y40,200-14.64 37,200-14.62 43,000-14.62 45,600-14.58"
,,"64,200-14.58 41,400-14.58 38,600-14.60 86,200-14.62"
,,"62,000-14.62 48,000-14.62 50,000-14.62 40,000-14.62"
,,"51,800-14.62 88,000-14.62 300,800-14.64 114,400-14.64"
,,"65,600-14.64 60,000-14.64 ]< 63,000-14.64 58,400-14.64"
,,"60,000-14.64 73,800-14.64 >"
1813,KWG GROUP,"< >[ 214,000-6.98 117,000-6.98 78,000-6.98 ]/-//[ ]< >"
1816,CGN POWER,"< >[ 708,000-1.96 ]/-//[ 373,000-1.95 527,000-1.95"
,,"691,000-1.95 333,000-1.95 929,000-1.95 679,000-1.95"
,,"423,000-1.95 459,000-1.95 400,000-1.95 274,000-1.95"
,,"429,000-1.95 400,000-1.95 454,000-1.95 397,000-1.95"
,,"308,000-1.95 794,000-1.95 506,000-1.95 257,000-1.95 ]<"
,,"271,000-1.95 596,000-1.95 457,000-1.95 602,000-1.95 >"
1818,ZHAOJIN MINING,"< >[ ]/-//[ 123,500-7.49 90,000-7.49 ]< 84,500-7.51 >"
1829,CMEC,"< >[ X298,000-3.94 ]/-//[ ]< >"
1833,PA GOODDOCTOR,"< >[ 15,900-36.55 15,800-36.75 17,600-36.30"
,,"22,300-36.30 ]/-//[ 19,400-36.50 55,000-36.50"
,,"21,500-36.50 14,100-36.50 30,400-36.55 14,100-36.55"
,,"29,000-36.55 ]< >"
1836,STELLA HOLDINGS,"< P96,000-7.853 >[ ]/-//[ ]< >"
1862,JINGRUI HLDGS,"< >[ 565,000-2.34 ]/-//[ ]< >"
1882,HAITIAN INT'L,"< >[ 32,000-17.20 58,000-17.20 46,000-17.20"
,,"84,000-17.20 38,000-17.20 38,000-16.68 38,000-16.66"
,,"30,000-16.68 ]/-//[ ]< 37,000-17.36 >"
1885,CH WOOD OPT,"< >[ ]/-//[ 472,000-1.92 ]< >"
1888,KB LAMINATES,"< P575,050-7.51 P246,450-7.509 >[ ]/-//[ ]< >"
1898,CHINA COAL,"< >[ ]/-//[ 167,000-3.20 ]< 225,000-3.20 >"
1910,SAMSONITE,"< >[ 23,400-25.00 47,100-25.00 28,800-25.00"
,,"24,600-25.00 ]/-//[ X79,800-24.75 81,300-24.90"
,,"30,000-24.90 30,000-24.90 29,700-24.90 20,700-24.85 ]<"
,,"22,200-25.00 U21,300-25.00 45,900-25.00 >"
1913,PRADA,"< >[ ]/-//[ X60,000-27.675 X28,700-27.725 ]< >"
1918,SUNAC,"< >[ 20,000-26.10 30,000-26.05 30,000-26.05"
,,"25,000-26.00 32,000-25.75 40,000-25.65 50,000-25.70"
,,"27,000-25.75 39,000-25.75 Y24,000-25.75 22,000-25.75"
,,"Y25,000-25.75 35,000-25.75 27,000-25.75 22,000-25.75"
,,"32,000-25.85 30,000-25.85 21,000-25.80 24,000-25.80"
,,"32,000-25.85 33,000-25.85 50,000-25.80 21,000-25.65"
,,"20,000-25.65 30,000-25.65 22,000-25.70 22,000-25.75"
,,"22,000-25.75 20,000-25.70 22,000-25.75 25,000-25.75"
,,"30,000-25.75 20,000-25.75 Y20,000-25.75 20,000-25.70"
,,"20,000-25.65 23,000-25.60 22,000-25.60 ]/-//["
,,"20,000-25.55 29,000-25.55 26,000-25.60 23,000-25.60"
,,"50,000-25.55 30,000-25.55 20,000-25.40 20,000-25.40"
,,"25,000-25.35 24,000-25.25 22,000-25.25 40,000-25.15"
,,"40,000-25.15 30,000-25.15 28,000-25.15 34,000-25.30"
,,"30,000-25.20 70,000-25.30 41,000-25.30 28,000-25.30"
,,"26,000-25.35 97,000-25.35 23,000-25.35 27,000-25.40"
,,"43,000-25.40 20,000-25.50 27,000-25.45 48,000-25.45"
,,"30,000-25.50 20,000-25.55 29,000-25.45 22,000-25.45"
,,"25,000-25.55 20,000-25.60 30,000-25.65 39,000-25.65"
,,"26,000-25.55 20,000-25.50 21,000-25.50 25,000-25.50"
,,"20,000-25.55 25,000-25.55 32,000-25.60 50,000-25.60 ]<"
,,"21,000-25.65 51,000-25.65 35,000-25.65 40,000-25.65"
,,"25,000-25.65 143,000-25.65 29,000-25.65 70,000-25.65"
,,"50,000-25.65 46,000-25.65 25,000-25.65 24,000-25.65"
,,"27,000-25.65 20,000-25.65 36,000-25.65 50,000-25.65"
,,"21,000-25.65 50,000-25.65 50,000-25.65 28,000-25.65 >"
1928,SANDS CHINA LTD,"< 13,200-38.05 24,400-38.05 33,200-38.05 14,800-38.05 >"
,,"[ 70,000-37.90 16,000-37.90 14,000-37.90 22,000-37.90"
,,"16,400-37.75 16,400-37.90 14,400-38.00 14,400-37.70"
,,"14,400-37.60 16,000-37.55 15,600-37.85 15,600-37.80"
,,"27,200-37.80 15,600-37.75 16,800-37.75 15,200-37.75"
,,"15,200-37.70 18,800-37.70 15,200-37.80 15,200-37.80"
,,"15,600-37.80 30,800-37.90 15,200-37.90 15,200-37.85"
,,"15,200-37.85 34,000-37.85 19,600-37.85 19,600-37.85"
,,"24,400-37.85 19,200-37.85 28,400-37.85 38,400-37.85"
,,"18,000-37.85 31,200-37.85 18,400-37.85 24,400-37.85"
,,"14,000-37.80 16,000-37.80 18,000-37.80 24,800-37.85"
,,"19,600-37.80 22,400-37.85 15,200-37.90 13,600-37.95"
,,"14,000-37.95 59,600-37.95 16,800-38.00 20,400-38.05"
,,"27,200-38.05 20,400-38.00 20,400-38.00 20,000-37.90"
,,"26,000-37.95 18,000-37.95 17,200-37.95 20,000-38.05"
,,"20,000-38.05 20,000-38.05 18,000-38.05 13,600-38.20"
,,"19,600-38.20 15,600-38.20 18,000-38.40 17,600-38.40"
,,"20,000-38.40 21,200-38.40 13,200-38.40 19,600-38.40"
,,"76,000-38.40 40,400-38.40 14,000-38.25 16,800-38.25"
,,"18,400-38.25 14,000-38.25 14,800-38.25 17,600-38.30"
,,"20,000-38.35 20,000-38.35 20,000-38.40 24,000-38.40"
,,"18,800-38.40 25,200-38.40 27,600-38.60 13,600-38.55"
,,"16,800-38.65 14,000-38.65 64,800-38.60 36,400-38.55"
,,"14,800-38.40 20,000-38.35 58,800-38.35 20,800-38.40"
,,"34,000-38.40 20,000-38.35 15,200-38.35 72,400-38.30"
,,"14,800-38.30 18,000-38.30 28,000-38.05 24,000-38.05"
,,"28,400-38.05 X386,400-38.075 14,800-38.00 13,200-38.00"
,,"X250,000-38.05 34,000-38.00 26,400-38.00 19,200-38.00"
,,"20,000-38.00 26,400-38.00 47,600-38.00 13,200-38.00"
,,"13,600-37.90 18,800-37.85 20,000-37.90 16,800-37.90"
,,"24,400-37.85 16,800-37.85 17,600-37.80 16,000-37.75"
,,"37,200-37.75 20,000-37.85 30,000-37.85 18,000-37.60"
,,"42,000-37.45 64,000-37.40 25,200-37.40 16,000-37.40"
,,"14,400-37.40 15,200-37.40 30,000-37.40 X800,000-37.375"
,,"X685,600-37.425 30,000-37.45 ]/-//[ 15,600-37.30"
,,"20,000-37.10 24,800-37.05 20,000-37.00 44,000-37.00"
,,"45,600-37.00 13,600-36.90 35,600-36.95 20,000-37.00"
,,"20,000-37.00 20,000-37.05 16,000-37.05 24,400-37.20"
,,"Y18,000-37.50 100,000-37.50 38,400-37.50 20,000-37.30"
,,"16,400-37.25 20,000-37.30 14,800-37.65 14,000-37.65 ]<"
,,"30,000-37.65 U18,000-37.65 34,000-37.65 20,800-37.65"
,,"144,000-37.65 20,000-37.65 40,000-37.65 24,400-37.65"
,,"17,600-37.65 16,400-37.65 23,200-37.65 14,800-37.65"
,,"24,800-37.65 14,800-37.65 17,200-37.65 32,400-37.65"
,,"31,200-37.65 14,000-37.65 36,000-37.65 29,600-37.65 >"
1929,CHOW TAI FOOK,"< >[ 98,800-6.63 ]/-//[ ]< >"
1958,BAIC MOTOR,"< >[ 238,000-4.93 175,000-4.89 ]/-//[ ]< 113,500-4.95"
,,"116,000-4.95 >"
1966,CHINA SCE GROUP,"< >[ 188,000-2.81 ]/-//[ 255,000-2.83 ]< >"
1972,SWIREPROPERTIES,"< >[ ]/-//[ 20,000-28.60 ]< 95,400-28.60 39,600-28.60"
,,"25,600-28.60 44,600-28.60 23,400-28.60 22,600-28.60"
,,"20,000-28.60 >"
1978,LH GROUP,"< >[ 1,030,000-0.65 ]/-//[ ]< >"
1988,MINSHENG BANK,"< >[ 90,000-5.90 X1,529,500-5.915 ]/-//[ 99,000-5.90"
,,"M1,687,500-5.91 241,000-5.87 191,500-5.87 93,000-5.87"
,,"214,500-5.87 92,500-5.89 157,000-5.89 141,000-5.90"
,,"98,000-5.90 107,000-5.90 90,500-5.91 151,500-5.91"
,,"91,000-5.91 ]< 337,500-5.91 213,500-5.91 192,500-5.91"
,,"181,500-5.91 88,000-5.91 185,000-5.91 541,000-5.91"
,,"141,500-5.91 88,000-5.91 122,000-5.91 459,500-5.91"
,,"86,500-5.91 290,000-5.91 >"
1997,WHARF REIC,"< >[ ]/-//[ X108,000-49.175 18,000-49.35 16,000-49.45"
,,"15,000-49.45 15,000-49.55 ]< 38,000-49.85 U22,000-49.85"
,,"13,000-49.85 32,000-49.85 11,000-49.85 40,000-49.85"
,,"16,000-49.85 13,000-49.85 17,000-49.85 16,000-49.85"
,,"13,000-49.85 15,000-49.85 >"
1999,MAN WAH HLDGS,"< >[ 271,200-3.69 190,800-3.68 ]/-//[ ]< >"
2001,NEW HIGHER EDU,"< >[ ]/-//[ 165,000-4.37 Y118,000-4.38 Y153,000-4.36 ]"
,,< >
2005,SSY GROUP,"< P12,400,000-7.80 >[ 150,000-8.00 300,000-7.90 ]/-//["
,,"80,000-7.80 ]< 148,000-7.91 >"
2007,COUNTRY GARDEN,"< >[ Y95,000-9.77 109,000-9.77 230,000-9.69"
,,"164,000-9.73 63,000-9.73 80,000-9.75 ]/-//[ 60,000-9.60"
,,"59,000-9.60 62,000-9.57 100,000-9.60 96,000-9.66"
,,"186,000-9.64 99,000-9.66 Y100,000-9.70 66,000-9.70"
,,"53,000-9.71 ]< 150,000-9.72 97,000-9.72 100,000-9.72"
,,"280,000-9.72 78,000-9.72 200,000-9.72 112,000-9.72"
,,"186,000-9.72 185,000-9.72 67,000-9.72 80,000-9.72"
,,"100,000-9.72 357,000-9.72 73,000-9.72 80,000-9.72"
,,"69,000-9.72 269,000-9.72 95,000-9.72 94,000-9.72"
,,"68,000-9.72 74,000-9.72 >"
2009,BBMG,"< >[ 197,000-2.55 201,000-2.56 215,000-2.57"
,,"200,000-2.58 575,000-2.58 ]/-//[ 225,000-2.59"
,,"200,000-2.58 260,000-2.58 ]< 213,000-2.59 >"
2018,AAC TECH,"< >[ 36,500-58.50 14,500-58.60 9,000-58.60 29,500-58.60"
,,"11,500-58.75 13,500-58.75 14,500-58.75 10,000-58.55"
,,"9,000-58.40 14,500-58.50 23,500-58.75 13,500-58.45"
,,"13,500-58.00 10,000-58.00 11,500-58.00 9,500-57.60"
,,"14,000-57.70 15,500-57.70 20,500-57.25 13,000-57.25"
,,"36,500-57.15 10,000-57.00 10,000-57.00 10,000-57.00"
,,"17,000-57.00 14,500-57.00 45,000-57.00 24,500-57.05"
,,"12,500-57.25 18,500-57.15 20,000-57.10 9,000-57.05"
,,"16,500-57.05 15,500-57.10 12,000-57.00 10,000-56.90"
,,"10,000-57.00 11,000-57.00 10,000-56.90 10,000-56.90 ]"
,,"/-//[ 24,000-56.75 10,000-56.45 12,000-56.70"
,,"10,000-56.20 10,000-56.30 14,500-56.40 11,500-56.45"
,,"20,000-56.50 14,500-56.60 17,000-56.60 9,000-56.55"
,,"10,000-56.55 20,000-56.55 14,000-56.60 9,500-56.60"
,,"Y22,500-56.70 9,000-56.65 20,000-56.55 14,500-56.50"
,,"9,500-56.50 10,000-56.50 10,500-56.45 18,500-56.55"
,,"10,000-56.50 11,000-56.50 9,500-56.50 10,000-56.55"
,,"10,000-56.55 17,000-56.70 ]< 38,000-56.70 113,500-56.70"
,,"15,500-56.70 41,000-56.70 27,000-56.70 30,500-56.70"
,,"10,500-56.70 19,500-56.70 13,500-56.70 9,500-56.70"
,,"13,000-56.70 14,000-56.70 15,500-56.70 15,000-56.70"
,,"9,000-56.70 11,500-56.70 10,000-56.70 >"
2020,ANTA SPORTS,"< >[ 15,000-36.15 19,000-36.10 19,000-36.70"
,,"24,000-36.80 16,000-36.95 18,000-37.00 25,000-37.00"
,,"20,000-37.00 14,000-37.00 21,000-37.00 15,000-37.00 ]"
,,"/-//[ X21,000-37.275 26,000-37.35 37,000-37.35"
,,"14,000-37.40 14,000-37.40 17,000-37.50 20,000-37.50"
,,"24,000-37.55 17,000-37.65 14,000-37.70 X15,000-37.70"
,,"29,000-37.50 16,000-37.55 17,000-37.60 18,000-37.60"
,,"14,000-37.55 15,000-37.55 16,000-37.60 15,000-37.60"
,,"14,000-37.65 21,000-37.70 16,000-37.70 20,000-37.75"
,,"21,000-37.75 14,000-37.75 16,000-37.70 ]< 28,000-37.75"
,,"30,000-37.75 39,000-37.75 30,000-37.75 20,000-37.75"
,,"109,000-37.75 44,000-37.75 15,000-37.75 34,000-37.75"
,,"23,000-37.75 22,000-37.75 23,000-37.75 17,000-37.75"
,,"22,000-37.75 31,000-37.75 21,000-37.75 14,000-37.75 >"
2066,SHENGJINGBANK,"< >[ 199,000-3.87 ]/-//[ ]< >"
2098,ZALL SMARTCOM,"< >[ ]/-//[ 98,000-5.81 142,000-5.83 200,000-5.83"
,,"200,000-5.84 98,000-5.92 ]< >"
2128,CHINA LESSO,"< >[ ]/-//[ 130,000-4.21 ]< >"
2138,UM HEALTHCARE,"< >[ 100,000-5.50 ]/-//[ ]< >"
2186,LUYE PHARMA,"< >[ 100,000-6.62 100,000-6.66 87,500-6.78 316,000-6.75"
,,"150,000-6.75 Y82,500-6.74 75,500-6.71 ]/-//["
,,"79,000-6.69 100,000-6.70 100,000-6.70 75,500-6.67 ]< >"
2196,FOSUN PHARMA,"< >[ 39,500-28.90 21,000-28.85 18,000-28.85"
,,"19,000-29.00 Y20,000-29.00 19,000-29.05 Y22,000-29.05"
,,"Y30,000-29.20 26,500-29.25 21,000-29.30 Y17,500-29.30"
,,"Y55,000-29.30 20,000-29.35 20,000-29.35 20,000-29.35"
,,"18,000-29.35 25,000-29.35 18,000-29.20 ]/-//["
,,"21,000-29.10 21,000-29.10 27,500-29.10 19,000-29.10"
,,"Y20,000-29.10 20,500-29.20 21,500-29.35 ]< >"
2198,CHINA SANJIANG,"< >[ 998,000-1.99 759,000-1.99 ]/-//[ ]< >"
2202,CHINA VANKE,"< >[ 18,600-27.40 20,000-27.40 37,900-27.40"
,,"30,000-27.35 47,700-27.40 25,700-27.30 ]/-//["
,,"25,000-27.25 19,800-27.00 19,200-27.05 30,700-26.95"
,,"32,000-27.00 ]< 18,800-27.00 27,100-27.00 70,300-27.00"
,,"58,200-27.00 39,100-27.00 30,400-27.00 20,000-27.00"
,,"109,100-27.00 24,700-27.00 64,200-27.00 132,600-27.00"
,,"72,300-27.00 22,000-27.00 28,600-27.00 >"
2208,GOLDWIND,"< >[ Y109,600-8.00 76,600-8.00 ]/-//[ ]< >"
2225,KAKIKO GROUP,"< >[ 300,000-2.00 ]/-//[ ]< >"
2232,CRYSTAL INTL,"< >[ ]/-//[ 114,500-4.80 ]< >"
2238,GAC GROUP,"< >[ 200,000-8.26 70,000-8.20 Y100,000-8.20 ]/-//["
,,"68,000-8.26 62,000-8.24 186,000-8.24 100,000-8.31"
,,"70,000-8.30 68,000-8.30 ]< 148,000-8.38 106,000-8.38"
,,"60,000-8.38 140,000-8.38 62,000-8.38 96,000-8.38"
,,"94,000-8.38 60,000-8.38 104,000-8.38 >"
2262,SLD GROUP,"< >[ 459,000-1.18 ]/-//[ ]< >"
2269,WUXI BIO,"< >[ 14,500-67.50 16,500-67.30 14,500-67.20 8,500-67.20"
,,"10,000-67.35 8,500-67.60 19,500-67.80 ]/-//["
,,"9,500-67.00 10,000-66.85 9,000-66.35 9,000-66.50"
