CODE,NAME OF STOCK,SALES RECORD
,,"U102,000-9.64 148,000-9.64 54,000-9.64 66,000-9.64"
,,"64,000-9.64 56,000-9.64 134,000-9.64 62,000-9.64"
,,"66,000-9.64 66,000-9.64 >"
136,HENGTEN NET,"< >[ ]/-//[ 5,000,000-0.27 Y2,324,000-0.275 ]< >"
144,CHINA MER PORT,"< P87,800-14.698 P116,000-14.696 P790,200-14.699"
,,"P274,000-14.697 >[ 36,000-15.14 34,000-15.24 ]/-//["
,,"62,000-15.30 ]< 38,000-15.40 34,000-15.40 80,000-15.40 >"
148,KINGBOARD HLDG,"< >[ Y21,500-23.65 36,000-23.65 42,000-23.80"
,,"50,000-23.80 40,000-23.85 39,000-23.85 34,000-23.90"
,,"46,500-23.90 ]/-//[ 30,000-24.00 30,000-24.05"
,,"30,000-23.95 21,500-23.95 27,500-23.95 28,500-23.95"
,,"29,500-23.95 28,500-24.10 ]< 22,000-24.55 30,000-24.55 >"
151,WANT WANT CHINA,"< >[ ]/-//[ 102,000-5.75 197,000-5.75 87,000-5.80"
,,"147,000-5.80 108,000-5.77 ]< 98,000-5.80 214,000-5.80"
,,"103,000-5.80 127,000-5.80 88,000-5.80 136,000-5.80"
,,"149,000-5.80 211,000-5.80 88,000-5.80 146,000-5.80"
,,"89,000-5.80 104,000-5.80 91,000-5.80 95,000-5.80"
,,"U325,000-5.80 >"
152,SHENZHEN INT'L,"< >[ ]/-//[ 53,000-15.92 ]< >"
165,CHINA EB LTD,"< >[ ]/-//[ 36,000-14.78 36,000-14.76 ]< 40,000-14.90 >"
168,TSINGTAO BREW,"< P96,000-32.195 >[ ]/-//[ 26,000-31.85 ]< 22,000-32.35"
,,"U16,000-32.35 >"
173,K. WAH INT'L,"< >[ ]/-//[ 593,000-4.00 194,000-4.00 ]< >"
175,GEELY AUTO,"< P40,000-15.464 71,000-16.00 50,000-16.00 51,000-16.00"
,,"42,000-16.00 >[ 40,000-15.84 44,000-15.70 38,000-15.62"
,,"42,000-15.56 100,000-15.60 41,000-15.58 98,000-15.60"
,,"106,000-15.62 38,000-15.56 45,000-15.56 50,000-15.58"
,,"160,000-15.52 36,000-15.56 61,000-15.60 39,000-15.60"
,,"77,000-15.60 38,000-15.62 49,000-15.60 38,000-15.66"
,,"48,000-15.72 39,000-15.72 50,000-15.70 38,000-15.72"
,,"34,000-15.70 49,000-15.68 32,000-15.66 50,000-15.66"
,,"41,000-15.68 211,000-15.70 49,000-15.70 34,000-15.72"
,,"61,000-15.72 49,000-15.74 74,000-15.72 100,000-15.70"
,,"50,000-15.62 50,000-15.62 98,000-15.60 40,000-15.56"
,,"100,000-15.56 46,000-15.56 149,000-15.56 52,000-15.58"
,,"45,000-15.58 55,000-15.58 35,000-15.60 77,000-15.60"
,,"65,000-15.60 80,000-15.62 36,000-15.64 62,000-15.64"
,,"100,000-15.64 74,000-15.64 100,000-15.64 77,000-15.70"
,,"32,000-15.68 55,000-15.66 33,000-15.66 36,000-15.66"
,,"34,000-15.66 37,000-15.68 35,000-15.66 58,000-15.62"
,,"42,000-15.62 36,000-15.60 38,000-15.54 X39,000-15.52"
,,"57,000-15.52 40,000-15.52 37,000-15.52 38,000-15.52"
,,"87,000-15.52 34,000-15.52 100,000-15.52 64,000-15.52"
,,"100,000-15.52 107,000-15.52 43,000-15.52 40,000-15.52"
,,"35,000-15.54 33,000-15.54 38,000-15.52 41,000-15.52"
,,"34,000-15.52 44,000-15.54 ]/-//[ 40,000-15.54"
,,"157,000-15.52 38,000-15.54 50,000-15.52 36,000-15.52"
,,"50,000-15.52 200,000-15.50 60,000-15.50 100,000-15.50"
,,"40,000-15.50 34,000-15.46 65,000-15.46 45,000-15.46"
,,"75,000-15.44 33,000-15.44 38,000-15.42 69,000-15.42"
